loc,is_unused,contains_sensitive,num_params,cyclomatic_complexity,commit_count,code_churn,days_since_last_edit,author_count,recent_modification,label
270,1,1,6,18,46,1243,749,12,0,7
162,1,0,0,15,18,779,718,9,0,3
203,0,1,1,6,14,406,663,10,0,5
40,0,1,4,10,10,324,1021,1,0,5
27,0,1,5,11,56,1169,527,6,0,5
249,0,1,5,1,14,1305,745,9,0,5
80,1,1,6,15,57,687,593,9,0,7
288,1,0,6,19,45,421,329,8,0,3
160,1,1,6,20,7,1249,593,11,0,7
191,0,1,0,10,29,608,413,1,0,5
249,1,1,2,19,53,61,71,3,0,7
95,1,0,6,19,16,1375,967,10,0,3
248,1,0,4,3,54,1399,349,2,0,3
79,1,1,5,8,50,797,1054,10,0,7
230,1,1,3,12,44,1015,516,3,0,7
20,1,1,2,11,34,736,12,6,1,6
185,1,1,4,15,29,8,26,10,1,6
134,1,1,6,9,26,586,923,8,0,7
177,1,0,3,10,45,1050,16,3,1,2
152,1,0,4,1,20,757,891,12,0,3
176,0,1,1,13,4,257,862,4,0,5
91,1,1,1,18,24,978,592,2,0,7
267,0,0,4,16,32,96,616,11,0,1
136,0,1,5,5,56,78,431,12,0,5
264,1,1,0,2,12,926,221,8,0,7
33,0,1,5,20,35,473,913,7,0,5
195,0,0,2,10,46,1128,770,7,0,1
70,1,1,3,8,6,1492,77,2,0,7
168,0,0,4,7,13,553,907,2,0,1
54,0,0,0,10,15,913,273,9,0,1
101,0,1,4,15,6,586,410,9,0,5
18,0,1,5,13,28,161,486,7,0,5
100,0,0,2,19,18,514,749,7,0,1
225,0,0,6,8,50,1153,57,10,0,1
240,1,1,4,20,36,726,1034,12,0,7
111,0,0,0,4,49,648,1093,9,0,1
199,1,1,4,2,39,81,336,10,0,7
135,0,0,2,1,48,1236,5,11,1,0
181,1,1,4,7,50,1294,156,1,0,7
257,0,0,4,11,5,1282,433,10,0,1
241,1,0,0,14,43,1419,194,1,0,3
21,1,0,2,4,27,1063,147,9,0,3
219,1,0,4,20,24,542,655,12,0,3
15,1,1,2,8,54,1302,717,11,0,7
228,0,0,1,17,24,1110,528,2,0,1
299,1,1,5,5,52,382,1081,6,0,7
41,1,1,0,18,0,486,724,9,0,7
224,1,1,5,18,42,405,668,10,0,7
212,1,1,0,15,53,1100,471,7,0,7
120,1,0,4,16,25,1408,1031,9,0,3
155,0,1,5,4,18,1067,19,9,1,4
252,1,1,3,6,59,383,838,7,0,7
238,0,0,2,10,56,449,177,9,0,1
290,1,1,4,2,51,125,944,10,0,7
206,0,0,0,10,34,24,401,7,0,1
237,1,1,1,5,51,1038,418,5,0,7
63,1,1,1,4,50,823,927,5,0,7
55,0,1,2,19,41,680,327,1,0,5
260,0,1,2,19,1,998,782,2,0,5
224,0,1,4,17,34,7,1020,3,0,5
276,0,1,6,10,3,848,1028,11,0,5
7,0,0,6,14,53,320,1191,1,0,1
268,0,1,3,13,33,1233,995,4,0,5
50,1,0,5,6,16,287,857,4,0,3
71,0,0,4,17,18,652,305,9,0,1
36,0,1,3,17,58,559,820,1,0,5
98,1,1,3,2,54,275,836,3,0,7
155,1,1,2,3,42,535,793,2,0,7
48,0,0,5,6,5,1264,47,12,0,1
237,0,1,3,4,47,341,1092,10,0,5
171,1,1,6,14,55,328,955,12,0,7
293,0,0,3,20,3,732,1073,11,0,1
103,0,1,1,19,38,469,999,11,0,5
37,1,1,0,19,40,1405,40,10,0,7
52,1,1,0,20,59,25,1150,5,0,7
295,1,0,3,4,49,191,1155,4,0,3
125,1,0,3,18,57,1333,885,10,0,3
153,0,0,6,11,39,1419,1117,2,0,1
114,0,0,0,5,39,806,52,1,0,1
181,0,1,1,17,20,1106,174,2,0,5
21,0,1,4,6,45,443,369,1,0,5
105,0,1,4,15,50,509,973,12,0,5
23,0,0,2,7,38,849,366,8,0,1
8,1,0,3,13,37,1323,1196,12,0,3
121,1,1,0,12,5,1278,223,12,0,7
180,0,0,4,11,30,1038,1113,2,0,1
212,1,0,2,1,34,1371,415,3,0,3
127,0,0,6,7,41,1215,362,8,0,1
148,0,0,6,13,32,294,663,10,0,1
76,1,0,5,12,19,917,1152,9,0,3
41,0,0,3,9,22,164,1166,9,0,1
81,1,1,1,18,52,749,224,5,0,7
280,0,1,2,13,42,310,422,11,0,5
94,0,1,6,13,4,1266,1049,12,0,5
124,1,1,4,5,34,863,838,2,0,7
50,1,0,1,13,16,473,199,1,0,3
153,0,1,5,10,5,1060,636,8,0,5
22,1,1,5,7,17,93,96,7,0,7
48,1,1,0,16,48,1020,1033,5,0,7
149,0,1,2,13,58,1387,1185,10,0,5
223,0,0,4,6,28,797,1096,8,0,1
123,0,1,3,2,56,513,1180,5,0,5
78,0,0,3,15,55,511,889,11,0,1
281,0,0,5,7,9,623,219,11,0,1
32,0,0,0,7,17,1435,226,6,0,1
204,0,1,4,12,15,282,633,8,0,5
32,0,0,6,5,31,667,615,8,0,1
84,0,0,6,10,20,112,167,10,0,1
258,1,0,6,4,39,139,518,5,0,3
32,0,1,5,13,43,962,1000,10,0,5
230,0,0,0,10,42,253,68,6,0,1
300,1,1,4,9,22,665,150,2,0,7
27,1,0,6,11,36,27,1029,7,0,3
245,1,1,1,10,52,1275,852,1,0,7
38,0,1,0,10,11,582,405,5,0,5
88,0,1,1,6,52,146,745,4,0,5
89,1,0,3,12,38,891,247,2,0,3
117,1,1,5,3,24,769,1182,11,0,7
62,0,1,6,5,20,1243,1032,12,0,5
117,1,0,5,7,30,1470,547,8,0,3
97,1,0,4,2,16,542,694,1,0,3
50,1,1,2,16,38,207,1002,1,0,7
41,1,1,6,11,10,82,717,6,0,7
116,0,0,5,4,35,122,68,1,0,1
117,1,1,0,7,8,6,971,1,0,7
211,0,0,3,14,17,768,696,5,0,1
79,1,1,3,11,33,1376,1027,9,0,7
157,0,0,2,12,13,542,712,6,0,1
283,0,0,0,17,5,1306,806,11,0,1
140,1,0,5,16,18,632,202,10,0,3
173,0,1,4,3,49,1040,279,2,0,5
6,1,0,3,9,19,672,56,3,0,3
234,1,0,6,3,8,290,229,10,0,3
240,0,0,4,10,11,445,731,5,0,1
225,1,1,2,10,25,1035,356,11,0,7
206,1,1,6,16,45,984,588,10,0,7
37,0,0,2,16,17,1252,809,11,0,1
11,1,1,5,19,13,354,636,11,0,7
56,0,1,3,10,57,347,964,3,0,5
135,1,1,0,20,52,636,1140,6,0,7
67,1,0,1,11,48,642,77,5,0,3
91,1,1,0,1,42,643,194,11,0,7
228,1,1,3,7,49,691,1151,11,0,7
79,0,1,5,17,10,1184,768,3,0,5
124,1,0,1,10,38,34,417,12,0,3
269,0,0,3,4,47,291,668,9,0,1
207,1,1,2,15,5,129,590,12,0,7
99,0,1,2,9,6,855,919,7,0,5
68,1,1,2,3,42,112,1160,8,0,7
204,1,0,3,16,27,760,837,3,0,3
174,1,0,2,3,43,1073,342,4,0,3
81,0,0,4,16,24,1237,1113,8,0,1
149,1,0,1,18,45,897,272,11,0,3
289,0,1,2,4,1,641,20,7,1,4
83,0,1,5,10,11,1153,545,5,0,5
67,0,1,2,2,22,1439,685,6,0,5
50,0,1,4,16,0,887,1033,5,0,5
198,1,1,0,5,40,1253,84,3,0,7
297,1,1,2,10,47,190,165,4,0,7
59,0,0,3,19,50,358,618,1,0,1
133,0,1,0,9,0,1247,120,8,0,5
119,1,1,5,8,36,1207,457,9,0,7
168,1,1,2,10,57,1438,688,12,0,7
130,1,0,6,19,27,545,1015,9,0,3
176,1,1,5,1,38,889,442,5,0,7
176,0,1,3,8,3,1365,713,8,0,5
235,1,1,4,19,25,384,656,5,0,7
104,0,0,0,15,49,1388,155,1,0,1
177,0,0,2,17,3,1214,347,5,0,1
217,0,1,3,5,51,786,345,5,0,5
143,0,1,4,14,30,704,755,11,0,5
290,0,0,2,19,9,121,921,4,0,1
109,1,0,2,1,56,406,818,3,0,3
9,1,1,4,4,43,955,759,12,0,7
119,0,1,0,14,44,1060,8,6,1,4
14,1,1,1,10,9,1426,1066,9,0,7
225,0,0,5,1,31,486,791,11,0,1
283,0,0,5,5,38,910,431,3,0,1
74,1,0,2,15,60,1158,669,12,0,3
126,0,0,5,12,25,1171,601,2,0,1
112,0,0,5,16,36,1433,931,3,0,1
79,1,1,1,6,47,978,177,3,0,7
5,0,0,5,16,17,1312,1018,7,0,1
109,0,0,4,13,18,939,699,7,0,1
74,1,0,5,12,41,313,1174,6,0,3
182,1,0,6,5,36,798,1107,1,0,3
217,1,1,3,10,48,954,680,4,0,7
226,0,0,5,17,16,454,989,7,0,1
51,0,1,2,7,11,629,39,9,0,5
21,1,0,2,4,50,1482,355,2,0,3
239,0,0,5,3,5,964,292,9,0,1
8,0,0,2,2,57,1359,659,6,0,1
214,1,0,0,8,57,1444,1154,3,0,3
105,0,0,3,11,15,821,457,10,0,1
25,0,1,5,18,57,171,2,3,1,4
58,0,0,0,16,33,195,6,12,1,0
159,0,0,0,4,60,1149,981,4,0,1
67,0,1,1,8,22,1496,478,11,0,5
73,1,1,1,20,32,83,327,12,0,7
159,1,0,1,10,1,816,938,12,0,3
212,0,0,3,11,46,1411,989,6,0,1
105,1,1,5,1,41,1274,842,4,0,7
157,0,1,6,20,39,1134,877,12,0,5
10,1,0,0,9,11,75,1130,10,0,3
85,1,0,1,10,37,1053,614,11,0,3
25,0,0,6,14,53,1006,875,8,0,1
143,0,0,0,6,29,19,59,11,0,1
34,1,0,3,5,40,1430,360,11,0,3
263,1,0,3,16,15,1026,280,12,0,3
214,0,1,6,3,34,1209,1092,7,0,5
233,1,0,5,15,40,79,122,2,0,3
254,1,1,4,3,30,1432,176,5,0,7
226,1,1,2,3,60,521,543,2,0,7
16,0,0,3,5,15,154,62,5,0,1
163,1,1,2,20,14,1241,766,7,0,7
127,1,0,1,14,48,1215,297,11,0,3
87,1,0,4,19,34,67,523,12,0,3
79,0,0,2,9,59,1317,281,4,0,1
35,0,0,1,8,46,1441,1114,12,0,1
272,0,1,4,7,0,1089,771,6,0,5
100,1,1,6,12,26,22,809,3,0,7
297,1,0,6,3,14,1039,1169,8,0,3
193,1,1,5,17,31,222,1120,3,0,7
231,1,0,2,5,54,622,811,7,0,3
291,1,1,3,15,23,1069,760,6,0,7
272,0,0,4,7,38,1173,452,7,0,1
231,0,1,6,5,39,568,109,5,0,5
138,0,1,2,8,1,488,734,9,0,5
274,1,0,5,16,23,158,823,4,0,3
166,1,1,4,3,16,1003,620,3,0,7
281,0,0,6,20,20,266,127,3,0,1
241,1,0,3,7,22,503,574,9,0,3
146,0,0,3,2,10,1087,175,6,0,1
220,0,1,0,18,16,820,741,10,0,5
191,1,0,0,6,55,1187,1043,7,0,3
175,0,1,2,20,0,1364,237,6,0,5
189,1,1,4,17,58,1335,844,1,0,7
241,1,0,0,10,34,492,915,10,0,3
130,0,0,0,1,46,1461,500,11,0,1
97,1,1,5,10,52,545,33,9,0,7
126,0,1,5,10,59,1293,620,1,0,5
144,1,0,2,18,9,442,786,8,0,3
35,1,0,3,4,27,937,1164,3,0,3
103,1,0,5,11,4,974,547,9,0,3
86,1,1,1,9,8,977,827,10,0,7
13,1,1,0,20,45,818,668,10,0,7
143,1,1,5,8,15,323,80,7,0,7
121,0,0,6,18,14,491,10,5,1,0
249,0,0,2,3,10,36,275,4,0,1
231,0,1,0,13,57,1353,1185,12,0,5
105,1,0,2,1,47,1119,964,6,0,3
247,0,1,4,15,30,1404,620,1,0,5
10,1,0,6,9,4,1020,864,8,0,3
113,0,1,0,3,21,842,1154,12,0,5
58,1,0,1,16,50,455,212,12,0,3
49,1,1,0,16,49,179,1058,12,0,7
103,1,1,3,16,32,802,113,8,0,7
244,1,1,5,5,40,376,98,1,0,7
164,0,1,2,11,51,211,50,8,0,5
118,0,1,6,10,50,335,688,8,0,5
219,0,1,4,13,26,914,728,11,0,5
285,1,1,3,1,32,1174,225,4,0,7
296,0,1,3,12,24,543,481,2,0,5
216,1,0,2,17,45,1158,470,11,0,3
32,0,0,0,16,38,1120,305,3,0,1
246,1,0,0,15,33,868,725,4,0,3
121,0,1,4,7,26,769,370,2,0,5
140,0,0,1,10,9,719,1072,2,0,1
298,1,0,3,6,5,156,239,11,0,3
224,0,1,0,6,11,1170,1152,7,0,5
183,0,1,4,17,25,1127,368,2,0,5
165,1,0,5,18,3,596,1167,1,0,3
290,0,0,2,7,28,1135,60,7,0,1
99,1,0,4,8,7,1195,897,10,0,3
234,0,1,6,12,4,266,1182,11,0,5
295,1,0,5,6,36,1035,275,3,0,3
114,0,1,3,15,6,263,987,7,0,5
154,1,0,5,4,48,290,644,1,0,3
296,1,1,3,9,45,532,365,9,0,7
149,1,1,2,4,38,177,865,9,0,7
216,1,1,5,19,43,570,853,6,0,7
145,0,0,0,16,15,961,69,7,0,1
148,0,1,5,11,60,129,244,9,0,5
218,1,0,1,13,39,508,374,12,0,3
274,1,1,5,16,44,967,754,3,0,7
31,1,1,4,16,6,764,1054,7,0,7
10,1,1,3,5,18,626,591,10,0,7
121,1,1,5,3,54,1175,586,9,0,7
225,1,1,6,15,31,1325,737,10,0,7
233,0,1,2,18,51,1125,597,2,0,5
248,1,1,4,9,33,148,968,12,0,7
211,0,0,4,20,33,1243,323,11,0,1
286,0,0,4,6,22,1445,599,7,0,1
77,1,1,0,5,14,637,645,1,0,7
156,1,0,0,13,8,1447,942,7,0,3
46,0,1,5,3,26,720,654,9,0,5
75,1,0,6,19,6,265,1187,7,0,3
243,1,0,3,18,44,815,1188,2,0,3
228,0,0,5,19,8,354,336,11,0,1
146,0,1,2,20,37,239,899,1,0,5
123,1,0,1,15,20,999,9,5,1,2
165,0,1,3,20,44,27,597,3,0,5
283,0,1,1,13,9,13,480,3,0,5
80,1,0,5,2,8,970,116,1,0,3
111,1,0,6,1,8,485,137,2,0,3
166,0,0,4,8,26,1327,406,4,0,1
208,0,0,3,4,34,829,398,9,0,1
57,0,0,5,12,27,1348,164,12,0,1
51,0,0,0,4,52,1391,376,10,0,1
196,0,1,2,17,23,353,1042,5,0,5
152,1,0,0,1,49,600,379,10,0,3
72,0,0,2,16,41,1392,967,4,0,1
176,0,0,0,9,39,815,20,12,1,0
79,0,0,3,4,38,1064,229,2,0,1
273,1,0,1,15,48,545,1073,12,0,3
208,0,0,2,11,9,1311,1159,5,0,1
40,1,1,4,12,8,1169,15,2,1,6
97,1,0,3,14,30,1271,1124,6,0,3
299,0,0,0,8,19,1466,516,7,0,1
178,1,1,5,1,52,203,1183,5,0,7
189,1,0,4,20,11,650,361,8,0,3
150,0,1,1,20,30,516,784,5,0,5
12,1,1,5,15,60,1377,223,11,0,7
260,1,1,5,17,30,1025,934,6,0,7
77,0,1,5,17,46,1438,382,7,0,5
65,0,1,5,9,18,903,228,9,0,5
185,1,1,4,2,50,1432,968,6,0,7
169,0,0,4,15,10,112,869,6,0,1
207,1,1,2,15,53,1053,675,3,0,7
185,0,0,3,4,47,1058,1029,11,0,1
155,1,1,1,19,27,1162,519,10,0,7
210,1,1,6,3,21,620,696,4,0,7
91,0,0,6,3,21,987,182,9,0,1
225,0,1,3,7,55,452,840,7,0,5
112,0,1,5,10,42,1285,64,2,0,5
227,0,0,1,16,39,278,828,11,0,1
84,0,0,6,3,16,387,312,7,0,1
229,1,0,6,2,58,153,944,11,0,3
67,0,0,1,3,6,629,307,7,0,1
201,0,1,4,7,46,1462,1068,5,0,5
102,1,0,6,9,10,1450,350,5,0,3
201,1,1,2,18,45,1461,921,11,0,7
40,0,1,0,19,1,70,957,11,0,5
236,1,1,0,1,58,960,103,7,0,7
225,0,0,3,8,14,142,597,12,0,1
297,1,0,4,20,17,1405,1015,3,0,3
77,0,1,4,4,13,959,867,6,0,5
164,0,1,1,8,4,819,694,12,0,5
154,1,1,4,12,51,1014,1183,3,0,7
173,1,1,5,7,27,943,1093,8,0,7
213,1,0,6,6,55,736,594,7,0,3
150,0,0,2,18,1,1073,54,2,0,1
163,0,0,3,8,45,565,114,10,0,1
104,1,1,0,3,39,935,1178,3,0,7
276,1,0,0,12,31,891,603,12,0,3
6,1,0,6,19,11,139,966,12,0,3
167,1,1,5,20,58,478,153,7,0,7
241,1,0,2,15,55,340,823,12,0,3
17,1,0,1,17,36,1248,691,10,0,3
224,0,0,2,3,60,1201,169,5,0,1
254,1,1,1,18,46,842,351,4,0,7
167,1,0,6,14,58,19,229,10,0,3
113,1,0,0,8,16,326,820,7,0,3
26,0,0,4,1,51,1190,692,2,0,1
73,1,0,5,14,56,1313,646,8,0,3
206,0,0,2,3,4,558,579,8,0,1
247,1,0,3,15,60,1231,664,10,0,3
235,1,1,4,17,9,816,623,3,0,7
61,0,0,0,14,2,890,949,1,0,1
216,0,0,1,15,26,171,127,12,0,1
219,1,1,0,15,48,189,1019,3,0,7
267,1,0,0,3,45,185,1013,3,0,3
104,1,1,2,18,46,1292,1087,7,0,7
71,1,0,4,14,45,1031,938,2,0,3
129,0,1,0,20,58,634,554,8,0,5
251,0,1,4,6,1,1421,132,1,0,5
208,0,0,4,8,39,100,139,2,0,1
257,0,1,5,13,47,185,439,7,0,5
97,0,0,0,15,48,1024,221,12,0,1
161,1,1,0,2,36,1198,332,3,0,7
180,1,0,2,17,37,1236,957,1,0,3
276,0,0,0,10,33,192,654,5,0,1
196,1,0,1,19,44,460,784,2,0,3
202,0,1,3,10,59,1363,355,4,0,5
91,1,1,5,19,7,475,1043,10,0,7
285,0,1,0,6,20,787,355,1,0,5
240,0,0,1,16,46,1200,975,4,0,1
287,0,1,6,8,43,638,596,8,0,5
103,1,0,1,17,49,1181,582,1,0,3
271,0,0,2,3,39,550,985,4,0,1
280,0,0,6,12,16,189,1038,2,0,1
25,0,0,3,13,50,634,41,3,0,1
38,0,0,3,13,4,592,1180,6,0,1
181,1,1,6,19,48,777,713,3,0,7
249,1,0,3,11,25,445,270,1,0,3
293,0,1,1,12,21,132,14,4,1,4
253,0,1,4,19,20,1056,58,10,0,5
248,1,0,1,19,34,265,759,3,0,3
41,1,0,0,5,27,612,426,9,0,3
153,0,0,2,2,40,0,17,1,1,0
89,0,0,2,12,51,371,785,5,0,1
89,0,0,4,19,7,716,474,11,0,1
102,0,0,6,1,5,421,804,5,0,1
190,1,1,3,11,4,1299,634,5,0,7
35,0,1,2,8,17,337,53,4,0,5
51,0,0,0,20,13,827,841,9,0,1
96,0,1,5,20,37,153,266,2,0,5
57,0,0,4,11,15,1236,342,4,0,1
285,1,0,1,10,14,375,240,9,0,3
239,1,1,0,1,21,966,479,6,0,7
238,0,1,0,19,19,51,1171,5,0,5
297,1,0,1,13,39,258,847,7,0,3
97,1,0,0,3,21,738,1103,5,0,3
275,1,1,4,11,53,337,15,5,1,6
195,0,0,3,6,24,848,627,8,0,1
94,0,0,3,20,49,754,913,12,0,1
176,1,0,5,3,20,268,988,1,0,3
132,0,0,1,2,23,1196,747,9,0,1
102,1,0,0,9,30,818,228,3,0,3
239,1,0,3,20,8,1094,816,4,0,3
236,1,0,0,3,0,905,1193,9,0,3
114,1,0,2,17,20,862,458,12,0,3
117,1,1,4,7,50,524,624,12,0,7
12,1,0,5,6,42,272,799,4,0,3
127,1,1,3,11,59,363,748,4,0,7
89,0,1,4,7,32,399,264,11,0,5
236,1,1,0,15,47,423,184,5,0,7
79,1,1,1,15,18,134,582,4,0,7
200,1,0,4,20,52,1044,543,10,0,3
107,1,1,5,3,30,405,909,11,0,7
278,1,0,5,15,42,832,526,5,0,3
202,1,1,2,5,7,643,1135,6,0,7
117,1,0,2,19,6,374,263,5,0,3
125,1,0,0,4,0,490,178,10,0,3
99,0,1,0,19,28,152,270,12,0,5
268,1,1,2,20,1,346,859,10,0,7
287,1,0,1,5,59,157,802,7,0,3
230,0,1,1,5,5,1322,324,5,0,5
162,1,1,2,11,14,9,224,9,0,7
126,0,1,1,18,14,507,1102,10,0,5
131,1,0,1,20,8,541,252,6,0,3
61,0,0,4,16,17,1142,111,7,0,1
135,0,1,6,15,22,1139,994,11,0,5
111,1,0,1,5,6,1131,1001,3,0,3
116,0,1,1,10,55,638,1177,4,0,5
6,1,0,3,8,54,992,1192,1,0,3
215,1,0,6,3,9,184,685,10,0,3
64,1,0,3,6,45,816,844,8,0,3
269,0,1,6,16,4,831,192,1,0,5
100,1,1,5,4,26,1263,501,2,0,7
123,0,0,0,7,48,1004,1117,10,0,1
146,0,0,1,12,45,1354,1121,1,0,1
174,1,0,0,6,51,535,193,2,0,3
146,1,0,2,12,1,509,499,5,0,3
132,0,0,5,19,1,80,1058,3,0,1
201,0,0,3,2,15,408,1079,10,0,1
217,1,1,5,10,13,535,767,4,0,7
126,0,1,3,11,17,824,929,1,0,5
151,0,0,6,16,12,152,415,5,0,1
127,0,1,4,7,15,1470,439,1,0,5
279,1,1,6,6,6,828,49,12,0,7
238,1,1,5,1,2,294,495,7,0,7
277,0,1,5,13,27,191,217,4,0,5
217,1,0,0,1,23,242,916,5,0,3
259,1,1,4,5,13,172,597,4,0,7
67,0,1,3,5,55,728,164,4,0,5
16,0,0,1,15,28,1405,1123,4,0,1
173,0,1,6,20,22,213,729,10,0,5
43,1,1,0,12,9,1431,417,9,0,7
241,1,1,0,20,28,1367,1062,9,0,7
174,0,0,4,19,60,688,1087,11,0,1
179,1,1,2,12,43,750,40,6,0,7
229,0,0,6,6,5,132,731,5,0,1
283,1,0,5,16,56,375,1137,4,0,3
47,1,0,1,10,42,860,623,5,0,3
150,0,1,0,8,60,1389,1177,4,0,5
101,1,1,0,20,36,826,505,2,0,7
298,1,1,2,4,33,53,369,7,0,7
131,1,0,5,16,33,252,834,9,0,3
269,1,1,1,11,15,145,879,2,0,7
227,1,0,5,8,34,1367,869,7,0,3
100,1,0,3,1,54,882,773,9,0,3
248,0,0,2,9,34,1079,890,7,0,1
155,1,0,4,20,20,696,1019,4,0,3
144,1,0,6,1,0,583,1055,8,0,3
165,0,1,5,10,58,598,914,10,0,5
164,0,1,4,20,40,506,990,4,0,5
129,1,1,4,20,25,1480,888,6,0,7
79,1,1,3,3,1,1370,167,8,0,7
46,0,0,4,4,0,426,1168,2,0,1
66,1,1,1,9,19,1266,737,6,0,7
163,0,1,3,15,20,150,389,6,0,5
156,0,0,4,1,25,73,758,9,0,1
86,0,0,3,2,0,372,1169,10,0,1
240,1,0,3,15,55,559,246,10,0,3
248,1,1,0,7,24,176,165,9,0,7
