loc,is_unused,contains_sensitive,num_params,cyclomatic_complexity,commit_count,code_churn,days_since_last_edit,author_count,recent_modification,usage_score,activity_score,importance_score,sensitivity_score
239,0,1,5,7,55,1214,685,2,0,3,0,2,3
184,1,1,4,9,11,1132,1013,11,0,0,0,3,3
107,0,1,2,10,13,43,908,9,0,2,0,2,3
56,0,0,3,4,50,679,87,11,0,3,2,1,0
255,0,0,0,1,31,1468,352,5,0,3,1,1,0
211,1,1,3,12,37,905,996,6,0,0,0,3,3
196,1,0,6,7,3,902,1101,6,0,0,0,3,0
42,0,0,5,5,53,1476,602,12,0,3,0,2,0
36,0,0,1,4,33,295,933,9,0,3,0,1,0
13,1,0,6,11,41,1395,1173,9,0,0,0,3,0
116,0,1,6,20,28,44,1137,2,0,3,0,3,3
227,0,0,3,4,27,466,458,7,0,3,0,2,0
180,0,1,0,2,23,1354,413,2,0,3,0,1,3
220,0,0,3,1,21,16,981,5,0,3,0,1,0
74,1,1,3,11,60,1005,668,4,0,0,0,1,3
196,0,1,6,14,3,1414,165,7,0,1,1,3,3
223,0,1,4,3,44,390,1088,9,0,3,0,3,3
31,0,1,0,20,59,706,1014,7,0,3,0,2,2
18,1,1,1,8,35,1115,233,11,0,0,1,1,2
201,0,0,2,10,4,1244,614,1,0,1,0,1,0
221,0,1,6,8,39,1163,713,6,0,3,0,3,3
135,1,0,5,15,34,1424,151,2,0,0,1,3,0
121,1,1,0,15,49,822,312,5,0,0,1,2,3
156,0,1,3,1,22,766,733,9,0,3,0,2,3
144,0,1,1,4,35,1038,291,5,0,3,1,1,3
130,0,0,0,17,6,1398,644,6,0,2,0,3,0
67,1,1,4,16,37,542,26,5,1,0,3,2,3
281,0,0,4,12,47,359,484,10,0,3,0,3,0
144,1,0,5,5,26,1255,101,8,0,0,1,3,0
90,0,0,6,9,2,1028,996,4,0,1,0,1,0
115,1,1,2,9,57,672,88,2,0,0,2,1,3
54,1,0,5,17,8,331,71,1,0,0,2,2,0
93,0,0,4,19,49,1286,1193,9,0,3,0,3,0
202,1,0,6,7,34,153,235,1,0,0,1,2,0
188,0,1,0,6,13,966,955,1,0,2,0,1,3
264,0,1,0,15,2,729,1077,5,0,1,0,2,3
159,0,0,6,1,50,1394,1013,6,0,3,0,3,0
197,1,1,6,2,26,1350,926,10,0,0,0,3,3
140,1,0,0,19,50,1290,1180,3,0,0,0,2,0
61,1,0,5,7,42,1127,389,10,0,0,0,2,0
47,1,1,3,6,21,646,905,5,0,0,0,0,2
79,0,0,3,16,20,64,705,2,0,3,0,1,0
296,1,0,0,6,35,1097,260,9,0,0,1,2,0
162,1,0,5,4,60,1158,60,6,0,0,2,3,0
132,1,0,5,15,2,190,842,6,0,0,0,3,0
287,0,1,1,11,13,20,1187,12,0,2,0,3,3
216,1,0,6,6,47,439,433,4,0,0,0,2,0
211,1,1,0,4,38,158,1115,10,0,0,0,2,3
134,1,0,5,13,56,962,746,2,0,0,0,3,0
171,1,0,2,20,21,556,366,11,0,0,0,3,0
9,1,0,6,18,55,616,908,9,0,0,0,3,0
171,1,0,0,4,60,756,1088,1,0,0,0,1,0
24,1,0,1,17,56,1364,1141,4,0,0,0,1,0
198,1,0,0,3,54,187,261,11,0,0,1,2,0
266,0,1,0,17,25,23,685,7,0,3,0,3,3
74,1,0,4,6,48,1496,683,12,0,0,0,2,0
253,1,0,2,1,0,753,561,2,0,0,0,1,0
287,0,1,0,19,17,1287,632,11,0,2,0,3,3
245,1,0,5,7,17,882,235,6,0,0,1,3,0
286,0,1,2,12,43,227,534,11,0,3,0,3,3
165,0,0,2,16,39,150,972,11,0,3,0,3,0
92,0,1,1,16,3,1427,1145,9,0,1,0,2,3
76,1,0,3,18,53,1326,866,3,0,0,0,1,0
184,1,0,1,3,13,635,267,12,0,0,1,2,0
154,1,1,2,11,23,398,1116,12,0,0,0,3,3
63,0,1,4,18,45,1213,87,2,0,3,2,2,3
263,0,1,4,11,7,440,433,12,0,2,0,3,3
238,1,1,5,14,17,720,139,8,0,0,1,3,3
99,0,0,0,19,32,1123,40,5,0,3,2,1,0
96,1,0,6,5,8,824,682,10,0,0,0,2,0
235,1,0,5,13,56,170,532,8,0,0,0,3,0
89,1,1,2,3,30,1344,790,12,0,0,0,1,3
213,0,1,1,1,0,150,498,2,0,1,0,1,3
229,0,1,0,20,11,755,1060,10,0,2,0,3,3
26,1,0,3,2,42,226,140,10,0,0,1,1,0
261,0,1,6,1,48,186,253,12,0,3,1,3,3
210,1,0,1,11,12,1045,844,1,0,0,0,2,0
285,1,1,0,11,49,399,158,7,0,0,1,3,3
124,0,0,6,19,1,783,717,10,0,1,0,3,0
199,0,1,0,3,33,490,723,1,0,3,0,1,3
285,1,1,0,8,18,897,950,2,0,0,0,1,3
137,1,1,4,16,46,869,576,6,0,0,0,3,3
165,1,1,4,5,52,35,940,7,0,0,0,3,3
103,0,1,1,18,6,856,394,10,0,2,0,3,3
203,1,0,2,16,0,1279,920,4,0,0,0,2,0
67,1,1,5,20,3,284,449,2,0,0,0,2,3
115,0,1,1,13,11,423,163,5,0,2,1,2,3
186,0,1,4,19,16,672,356,7,0,2,1,3,3
111,0,1,0,2,46,808,833,3,0,3,0,1,3
107,1,0,5,7,58,191,111,6,0,0,1,3,0
133,1,1,0,12,12,614,871,3,0,0,0,2,3
126,0,1,0,3,56,500,620,8,0,3,0,2,3
195,1,1,6,5,58,660,1193,4,0,0,0,2,3
186,1,1,5,18,32,1150,642,9,0,0,0,3,3
59,1,1,6,3,5,1460,790,11,0,0,0,2,3
290,1,0,0,6,10,1304,693,7,0,0,0,2,0
111,1,0,5,20,48,263,901,3,0,0,0,3,0
293,1,1,6,15,0,296,226,3,0,0,1,3,3
77,0,1,1,10,27,217,586,9,0,3,0,1,3
110,1,1,6,10,24,1397,141,11,0,0,1,3,3
269,1,1,4,3,45,620,574,10,0,0,0,3,3
150,1,1,6,6,56,45,518,8,0,0,0,3,3
234,1,1,0,7,31,1199,217,4,0,0,1,1,3
287,1,0,6,9,57,205,483,9,0,0,0,3,0
47,0,0,1,20,25,1434,582,10,0,3,0,2,0
201,0,0,3,7,17,1006,227,7,0,2,1,2,0
182,0,1,1,15,17,1282,1159,10,0,2,0,3,3
66,0,1,5,2,14,1357,842,8,0,2,0,2,3
270,0,0,3,15,22,98,260,8,0,3,1,3,0
216,0,0,0,9,22,703,891,7,0,3,0,2,0
70,0,1,5,16,21,19,624,1,0,3,0,2,3
153,0,0,1,15,4,539,1026,11,0,1,0,3,0
147,1,0,6,12,22,1280,710,9,0,0,0,3,0
223,0,0,5,16,48,982,785,2,0,3,0,3,0
6,0,0,4,3,50,842,694,7,0,3,0,2,0
184,1,1,1,8,45,1271,0,5,1,0,3,1,3
20,0,0,5,3,44,783,589,4,0,3,0,1,0
284,1,0,1,8,21,1336,84,1,0,0,2,1,0
236,1,0,0,14,15,1470,225,1,0,0,1,2,0
243,1,0,0,11,58,1261,265,8,0,0,1,3,0
30,0,0,3,18,35,659,698,2,0,3,0,1,0
207,1,0,4,17,33,579,424,10,0,0,0,3,0
265,1,0,4,8,46,1088,1042,11,0,0,0,3,0
199,1,1,6,20,51,802,986,10,0,0,0,3,3
223,1,0,2,18,53,941,995,3,0,0,0,2,0
5,1,0,5,13,49,621,1160,4,0,0,0,2,0
24,1,1,1,16,33,1239,742,11,0,0,0,2,2
289,1,1,1,4,0,747,741,6,0,0,0,2,3
63,0,0,6,1,54,486,1073,2,0,3,0,1,0
99,0,1,6,4,3,617,262,2,0,1,1,1,3
39,1,0,5,7,52,432,108,2,0,0,1,1,0
290,1,1,4,17,47,224,520,10,0,0,0,3,3
71,0,0,0,12,21,293,60,7,0,3,2,2,0
193,0,1,1,6,22,647,392,2,0,3,0,1,3
164,1,0,4,8,60,933,716,6,0,0,0,3,0
178,0,0,5,8,6,163,437,7,0,2,0,3,0
249,0,1,5,2,12,318,790,11,0,2,0,3,3
139,1,1,2,13,41,516,811,7,0,0,0,3,3
138,1,0,3,16,36,698,882,2,0,0,0,2,0
240,1,1,5,3,51,993,807,3,0,0,0,2,3
215,0,0,0,8,7,427,673,8,0,2,0,2,0
18,0,1,6,9,4,471,231,3,0,1,1,1,2
51,1,0,5,1,48,1496,227,10,0,0,1,2,0
199,0,0,1,1,11,466,728,7,0,2,0,2,0
176,1,0,1,9,39,835,913,1,0,0,0,1,0
47,0,1,3,15,44,1259,475,4,0,3,0,1,2
6,0,1,2,17,44,1390,257,6,0,3,1,2,2
60,1,0,0,9,2,42,638,5,0,0,0,0,0
182,0,0,0,9,21,392,335,3,0,3,1,1,0
9,1,1,5,10,59,561,126,10,0,0,1,2,2
255,1,1,4,16,54,100,656,10,0,0,0,3,3
53,1,1,0,17,10,1402,327,4,0,0,1,1,3
117,1,0,3,18,47,1048,421,4,0,0,0,2,0
208,0,1,2,12,16,270,312,4,0,2,1,2,3
299,1,0,4,4,11,788,698,11,0,0,0,3,0
206,1,0,3,11,42,491,247,7,0,0,1,3,0
88,1,1,5,20,20,387,1193,8,0,0,0,3,3
183,0,0,0,9,14,168,442,10,0,2,0,2,0
127,1,1,0,20,29,471,1131,4,0,0,0,2,3
16,0,1,0,6,49,259,975,2,0,3,0,0,2
139,0,1,2,5,51,1233,1136,4,0,3,0,1,3
199,1,1,1,6,12,1183,1133,10,0,0,0,2,3
32,0,1,4,12,42,326,292,6,0,3,1,3,2
288,1,1,4,12,5,355,891,5,0,0,0,3,3
189,0,1,1,13,21,365,862,6,0,3,0,3,3
178,0,0,3,16,12,153,84,2,0,2,2,2,0
227,1,1,0,16,6,484,921,2,0,0,0,2,3
49,0,0,5,9,37,323,1134,3,0,3,0,1,0
300,0,1,0,12,1,221,143,11,0,1,1,3,3
72,1,1,1,19,24,1055,597,10,0,0,0,2,3
99,1,0,2,6,1,134,96,2,0,0,1,0,0
194,1,0,6,1,45,1230,629,5,0,0,0,2,0
203,1,0,3,20,6,742,1029,10,0,0,0,3,0
184,1,0,2,17,51,1165,1090,2,0,0,0,2,0
44,0,1,1,20,56,930,487,9,0,3,0,2,2
84,1,1,0,17,54,1183,1179,2,0,0,0,1,3
238,0,1,3,3,28,559,1005,9,0,3,0,2,3
64,1,0,2,16,38,1038,1097,6,0,0,0,2,0
95,0,0,3,11,56,1134,603,3,0,3,0,1,0
30,0,1,2,13,39,153,879,4,0,3,0,1,2
194,0,0,1,10,18,46,401,4,0,2,0,1,0
56,1,0,4,11,6,779,942,5,0,0,0,2,0
281,1,1,0,7,45,781,486,5,0,0,0,1,3
8,1,1,2,7,14,1231,1008,2,0,0,0,0,2
175,0,1,5,13,19,776,897,8,0,2,0,3,3
90,0,0,6,19,55,1402,530,11,0,3,0,3,0
203,1,1,3,18,32,470,415,2,0,0,0,2,3
213,1,1,0,12,37,147,728,4,0,0,0,2,3
141,0,1,5,20,28,70,719,10,0,3,0,3,3
78,1,0,2,15,60,697,746,6,0,0,0,2,0
230,0,1,1,2,15,864,361,9,0,2,1,2,3
212,0,1,4,6,45,348,146,9,0,3,1,3,3
161,1,1,2,11,31,867,911,7,0,0,0,3,3
173,0,0,2,15,49,376,78,12,0,3,2,3,0
220,0,0,5,7,46,1226,136,12,0,3,1,3,0
180,0,1,6,18,54,419,344,10,0,3,1,3,3
163,1,0,2,18,2,931,900,1,0,0,0,2,0
26,0,0,4,7,29,1043,1100,9,0,3,0,2,0
200,0,1,5,7,7,1068,889,4,0,2,0,2,3
175,1,1,3,2,44,657,643,11,0,0,0,2,3
31,0,1,3,1,37,189,871,11,0,3,0,1,2
158,0,0,2,4,35,506,802,6,0,3,0,2,0
127,0,1,2,7,34,1295,589,7,0,3,0,2,3
211,0,1,1,20,5,33,1199,9,0,2,0,3,3
218,0,1,4,2,32,737,1132,6,0,3,0,3,3
44,1,0,5,20,17,294,160,12,0,0,1,3,0
232,1,1,1,4,45,72,325,11,0,0,1,2,3
222,0,1,4,17,52,1217,533,9,0,3,0,3,3
262,1,0,4,7,4,503,720,11,0,0,0,3,0
141,1,1,4,1,29,525,887,7,0,0,0,3,3
266,1,0,0,10,47,11,1115,1,0,0,0,1,0
94,1,1,6,11,54,1305,834,2,0,0,0,2,3
170,0,0,0,12,51,595,698,7,0,3,0,3,0
216,0,0,3,5,55,17,509,11,0,3,0,2,0
180,0,0,6,9,4,176,663,3,0,1,0,2,0
236,0,0,0,8,27,349,222,4,0,3,1,1,0
26,1,0,3,5,51,1416,832,12,0,0,0,1,0
255,0,0,6,2,48,1443,401,6,0,3,0,3,0
116,1,1,0,17,10,346,315,5,0,0,1,2,3
29,1,1,1,16,58,1115,986,9,0,0,0,2,2
150,0,1,6,8,45,371,271,6,0,3,1,3,3
109,0,0,0,16,59,1365,41,2,0,3,2,2,0
75,0,0,5,17,14,1332,396,7,0,2,0,3,0
13,0,1,1,11,12,1464,1142,6,0,2,0,2,2
177,0,1,4,8,17,808,984,3,0,2,0,2,3
191,1,1,1,13,49,423,531,6,0,0,0,3,3
194,1,0,4,10,7,685,310,11,0,0,1,3,0
32,1,0,1,20,46,89,993,9,0,0,0,2,0
161,0,0,4,17,20,843,1043,12,0,3,0,3,0
174,0,1,1,14,46,319,892,12,0,3,0,3,3
172,1,1,6,10,0,422,307,4,0,0,1,2,3
49,0,1,4,18,52,1331,712,6,0,3,0,3,2
229,0,0,2,6,32,504,969,3,0,3,0,1,0
101,0,1,3,12,7,1183,490,2,0,2,0,2,3
97,1,1,4,2,49,943,284,12,0,0,1,2,3
293,0,0,2,3,1,841,1080,1,0,1,0,1,0
75,1,1,4,9,54,1026,573,12,0,0,0,2,3
227,0,1,6,18,29,106,894,5,0,3,0,3,3
179,1,0,2,10,53,200,533,6,0,0,0,2,0
249,1,0,6,12,24,567,391,11,0,0,0,3,0
22,0,1,0,7,15,1328,625,2,0,2,0,0,2
247,1,1,6,6,37,1147,798,8,0,0,0,3,3
107,1,1,6,15,26,1075,553,12,0,0,0,3,3
57,0,0,2,9,29,207,554,1,0,3,0,0,0
75,1,0,2,10,5,1433,709,3,0,0,0,0,0
225,1,0,3,19,23,977,59,1,0,0,2,2,0
300,0,1,5,3,29,301,1156,3,0,3,0,2,3
300,1,0,1,1,52,1091,862,4,0,0,0,1,0
49,1,1,5,18,5,8,1197,2,0,0,0,2,2
24,1,1,6,19,42,1094,22,7,1,0,3,3,2
172,1,0,6,8,37,647,659,2,0,0,0,2,0
117,1,1,3,5,37,1322,397,10,0,0,0,2,3
185,0,0,1,6,11,35,182,11,0,2,1,2,0
83,0,0,1,14,16,753,1028,9,0,2,0,2,0
62,1,1,3,14,59,1487,778,2,0,0,0,1,3
191,1,1,6,5,40,571,1114,3,0,0,0,2,3
140,0,1,1,5,29,1302,738,5,0,3,0,1,3
203,1,1,6,17,33,214,706,11,0,0,0,3,3
200,0,0,0,4,49,1087,661,2,0,3,0,1,0
288,1,0,6,6,52,60,1073,2,0,0,0,2,0
238,0,1,1,10,3,155,271,1,0,1,1,1,3
274,0,0,3,17,44,250,1194,11,0,3,0,3,0
121,1,1,3,5,13,117,583,8,0,0,0,2,3
276,1,1,1,6,1,1286,457,4,0,0,0,1,3
193,1,1,4,1,50,891,495,10,0,0,0,3,3
272,0,0,6,7,34,437,1052,8,0,3,0,3,0
243,0,0,5,5,30,1407,663,8,0,3,0,3,0
144,0,1,5,13,3,559,900,2,0,1,0,3,3
85,1,0,4,9,1,881,712,8,0,0,0,2,0
152,0,0,0,15,1,170,868,12,0,1,0,3,0
117,0,1,3,13,49,1137,108,5,0,3,1,2,3
67,1,0,4,16,36,530,42,6,0,0,2,3,0
17,0,1,3,9,50,820,101,2,0,3,1,0,2
214,0,0,4,15,44,125,467,3,0,3,0,3,0
117,0,1,5,10,14,859,630,9,0,2,0,3,3
50,0,0,0,17,42,78,97,12,0,3,1,2,0
85,0,1,2,17,17,516,854,11,0,2,0,2,3
180,0,0,5,16,9,69,805,1,0,2,0,3,0
74,0,1,2,2,4,1124,324,7,0,1,1,1,3
126,1,1,6,13,38,249,861,10,0,0,0,3,3
85,0,1,2,17,23,93,1007,10,0,3,0,2,3
26,1,0,1,16,52,4,460,12,0,0,0,2,0
80,0,0,1,16,1,504,757,4,0,1,0,1,0
144,1,0,1,6,47,1226,439,6,0,0,0,2,0
222,0,0,0,13,25,457,406,5,0,3,0,2,0
225,0,1,2,10,21,847,49,9,0,3,2,2,3
6,0,0,0,3,29,345,389,8,0,3,0,1,0
172,0,0,4,20,58,442,64,12,0,3,2,3,0
58,1,0,2,4,15,171,85,11,0,0,2,1,0
176,0,0,0,18,1,420,600,11,0,1,0,3,0
